inicio_bloque,fin_bloque,municipio,grado,tipo_guardia,tipo_dia,horas,eur_hora_base,multiplicador,importe
2025-09-19 08:00:00,2025-09-19 09:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 09:00:00,2025-09-19 10:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 10:00:00,2025-09-19 11:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 11:00:00,2025-09-19 12:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 12:00:00,2025-09-19 13:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 13:00:00,2025-09-19 14:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 14:00:00,2025-09-19 15:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 15:00:00,2025-09-19 16:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 16:00:00,2025-09-19 17:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 17:00:00,2025-09-19 18:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 18:00:00,2025-09-19 19:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 19:00:00,2025-09-19 20:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 20:00:00,2025-09-19 21:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 21:00:00,2025-09-19 22:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 22:00:00,2025-09-19 23:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-19 23:00:00,2025-09-20 00:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-20 00:00:00,2025-09-20 01:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-20 01:00:00,2025-09-20 02:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-20 02:00:00,2025-09-20 03:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-20 03:00:00,2025-09-20 04:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-20 04:00:00,2025-09-20 05:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-20 05:00:00,2025-09-20 06:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-20 06:00:00,2025-09-20 07:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-20 07:00:00,2025-09-20 08:00:00,Sevilla,R3,24h,normal,1.0,24.0,1.0,24.0
2025-09-22 15:00:00,2025-09-22 16:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-22 16:00:00,2025-09-22 17:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-22 17:00:00,2025-09-22 18:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-22 18:00:00,2025-09-22 19:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-22 19:00:00,2025-09-22 20:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-22 20:00:00,2025-09-22 21:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-22 21:00:00,2025-09-22 22:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-22 22:00:00,2025-09-22 23:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-22 23:00:00,2025-09-23 00:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-23 00:00:00,2025-09-23 01:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-23 01:00:00,2025-09-23 02:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-23 02:00:00,2025-09-23 03:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-23 03:00:00,2025-09-23 04:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-23 04:00:00,2025-09-23 05:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-23 05:00:00,2025-09-23 06:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-23 06:00:00,2025-09-23 07:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-23 07:00:00,2025-09-23 08:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
2025-09-23 08:00:00,2025-09-23 09:00:00,Sevilla,R3,17h,normal,1.0,24.0,1.0,24.0
