inicio_bloque,fin_bloque,municipio,grado,tipo_dia,horas,eur_hora,importe
2025-12-19 15:00:00,2025-12-19 16:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-19 16:00:00,2025-12-19 17:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-19 17:00:00,2025-12-19 18:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-19 18:00:00,2025-12-19 19:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-19 19:00:00,2025-12-19 20:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-19 20:00:00,2025-12-19 21:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-19 21:00:00,2025-12-19 22:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-19 22:00:00,2025-12-19 23:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-19 23:00:00,2025-12-20 00:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-20 00:00:00,2025-12-20 01:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-20 01:00:00,2025-12-20 02:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-20 02:00:00,2025-12-20 03:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-20 03:00:00,2025-12-20 04:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-20 04:00:00,2025-12-20 05:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-20 05:00:00,2025-12-20 06:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-20 06:00:00,2025-12-20 07:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-20 07:00:00,2025-12-20 08:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-22 15:00:00,2025-12-22 16:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-22 16:00:00,2025-12-22 17:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-22 17:00:00,2025-12-22 18:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-22 18:00:00,2025-12-22 19:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-22 19:00:00,2025-12-22 20:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-22 20:00:00,2025-12-22 21:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-22 21:00:00,2025-12-22 22:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-22 22:00:00,2025-12-22 23:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-22 23:00:00,2025-12-23 00:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-23 00:00:00,2025-12-23 01:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-23 01:00:00,2025-12-23 02:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-23 02:00:00,2025-12-23 03:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-23 03:00:00,2025-12-23 04:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-23 04:00:00,2025-12-23 05:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-23 05:00:00,2025-12-23 06:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-23 06:00:00,2025-12-23 07:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-23 07:00:00,2025-12-23 08:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-24 15:00:00,2025-12-24 16:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-24 16:00:00,2025-12-24 17:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-24 17:00:00,2025-12-24 18:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-24 18:00:00,2025-12-24 19:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-24 19:00:00,2025-12-24 20:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-24 20:00:00,2025-12-24 21:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-24 21:00:00,2025-12-24 22:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-24 22:00:00,2025-12-24 23:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-24 23:00:00,2025-12-25 00:00:00,Sevilla,R3,normal,1.0,17.32,17.32
2025-12-25 00:00:00,2025-12-25 01:00:00,Sevilla,R3,especial,1.0,34.64,34.64
2025-12-25 01:00:00,2025-12-25 02:00:00,Sevilla,R3,especial,1.0,34.64,34.64
2025-12-25 02:00:00,2025-12-25 03:00:00,Sevilla,R3,especial,1.0,34.64,34.64
2025-12-25 03:00:00,2025-12-25 04:00:00,Sevilla,R3,especial,1.0,34.64,34.64
2025-12-25 04:00:00,2025-12-25 05:00:00,Sevilla,R3,especial,1.0,34.64,34.64
2025-12-25 05:00:00,2025-12-25 06:00:00,Sevilla,R3,especial,1.0,34.64,34.64
2025-12-25 06:00:00,2025-12-25 07:00:00,Sevilla,R3,especial,1.0,34.64,34.64
2025-12-25 07:00:00,2025-12-25 08:00:00,Sevilla,R3,especial,1.0,34.64,34.64
